,2d,action,adventure,atmospheric,building,choices_matter,class_based,co_op,comedy,competitive,crafting,crime,dark_fantasy,dinosaurs,driving,exploration,fps,fantasy,first_person,free_to_play,funny,great_soundtrack,heist,horror,moba,mature,military,mod,moddable,multiplayer,multiple_endings,online_co_op,open_world,physics,pixel_graphics,post_apocalyptic,psychological_horror,pvp,rpg,racing,sandbox,shooter,simulation,singleplayer,story_rich,strategy,survival,tactical,team_based,third_person,third_person_shooter,trading,war,zombies,e_sports
2d,0.0,0.8772814121808733,0.7236983034300992,0.8523425374989488,0.6584305157096106,0.6361114907952217,0.9998846463168826,0.8260471176944292,0.7985337077877152,0.9965709930727287,0.6835428009027559,0.9997059650009763,0.987240569299555,0.9999330980475434,0.999919338172036,0.6424196033882732,0.999988581938129,0.9708480345623381,0.9992935905795133,0.9873766933078313,0.7805197405640334,0.6295052705743331,0.9992346569578926,0.9397248299726104,0.9943218700255817,0.9871536875452095,0.999916790844103,0.9999788986347511,0.9924461109542384,0.855353350030732,0.5827659022067788,0.845360553358952,0.9032489473404041,0.994301390047688,0.13660116448278414,0.9897060706587727,0.8586462336925114,0.9991697256498275,0.6737833095229758,0.998709152332075,0.6862101149188242,0.9956609096974498,0.942899341370607,0.6737126173535013,0.7255080426151987,0.9424247139156813,0.8049443417077664,0.9969722569832355,0.9998463357290276,0.9998038747659752,0.9999353736000325,0.9998501803432871,0.9888972229258759,0.9949644068387569,0.9998633954260187
action,0.8772814121808733,0.0,0.3085122371451713,0.3687783530640293,0.7513582726701298,0.9535412247725578,0.7408370555968375,0.1701925136537913,0.48943281878887934,0.4879572877591918,0.6659046122908989,0.4217065075606493,0.8708499630112926,0.8829303589480647,0.9580431450727488,0.7898651741544896,0.3241830139180347,0.7846432242661949,0.14918399209309252,0.5962905212164598,0.5009188254786376,0.5407933716082436,0.8210291660377819,0.8261477719524832,0.8318724167056509,0.47917384807721797,0.586638385888255,0.8573699669414558,0.43999498215568367,0.1079442335619285,0.9589482029744594,0.37058527165678734,0.30508398611101906,0.8415240758432477,0.90350132765756,0.7284354148467027,0.9698614776475841,0.5270341008532241,0.5688949200637636,0.48735053473158574,0.45934826497111847,0.13941499825985548,0.7814993273457104,0.33851706047358865,0.7972384823186416,0.631460293913924,0.6304231235723718,0.4754343764991146,0.4359585092463494,0.3566220176721424,0.39191157055893455,0.5436104416571413,0.6016446521336691,0.7001157242919696,0.5656342127293468
adventure,0.7236983034300992,0.3085122371451713,0.0,0.2050442065943856,0.5388197838436332,0.8624192263307202,0.9995389481924688,0.3822547098256105,0.5638374244424988,0.9986114498205381,0.40165592961270846,0.5209867832193716,0.8074414672422572,0.7738975246293961,0.9327320362685799,0.513931717266334,0.7819161823308632,0.6741446509002226,0.3062520702043203,0.8086205641158024,0.6056347158714326,0.5216984350964279,0.9575544559753113,0.7736415881024914,0.9961249066059978,0.4921826941679396,0.9786032978102174,0.8273694294755343,0.5614759128975162,0.3993510828528428,0.8991296787751297,0.7884160026453412,0.13650295100435184,0.8262366230459453,0.7889502775741625,0.5770829602823431,0.9499807617594945,0.8763957303796502,0.43004399616482714,0.552757044549491,0.2431626386394069,0.5743443922602235,0.7851925536847744,0.18844020265386252,0.6406509049117339,0.9452010891344573,0.4296315168778908,0.9727135023464969,0.9825762948994202,0.38260656756934497,0.5457141326550528,0.9990531962499998,0.9732873647588466,0.6311543701391223,0.9998007560351444
atmospheric,0.8523425374989488,0.3687783530640293,0.2050442065943856,0.0,0.8807143581114972,0.778201629045351,0.9979137417305732,0.554055848718374,0.6354450147374116,0.9909083565035903,0.7318347774666869,0.4561893885886108,0.6435703414486018,0.9994890114390286,0.9098358064496385,0.5227286684082626,0.834941660280884,0.7004280108475716,0.3672804467987911,0.8952149037569124,0.7083374320777285,0.3940163751970367,0.9964068162670615,0.6998067299991289,0.9993008364226734,0.38347624565070115,0.9740814545757573,0.9960580921836614,0.6749598190256192,0.5645108856045224,0.8314176776460694,0.9283435265174103,0.2168669901869641,0.9673070625400679,0.8892102585854806,0.5899778058334997,0.9066974862268853,0.9099574416078825,0.4283992388374833,0.47830909162104673,0.5156224403319405,0.5913563628674124,0.8583507617198554,0.2176736316525273,0.48723196470837915,0.9352194607260399,0.670929509390774,0.9578375998168506,0.9791668110358996,0.26389196837563367,0.47745574256210466,0.9999023370686044,0.9609639581974332,0.746873170754298,0.9993978639612314
building,0.6584305157096106,0.7513582726701298,0.5388197838436332,0.8807143581114972,0.0,0.9980125599621898,0.9985101841474996,0.6038966834589724,0.7256620061922232,0.9995926777450652,0.36056496732107113,0.9999664377504416,0.9996228021649798,0.5955342894161357,0.9937210409942883,0.7141427023339633,0.8613559158513404,0.9964930048682547,0.7220514206186142,0.9725308905212766,0.6734120177085613,0.9776966733822982,1.0,0.8657556894051317,0.9996150060680574,1.0,0.9994930460229305,0.48093554437791397,0.6420742391374141,0.5986743798300482,0.9999818989657311,0.6806919856226331,0.7062850933708267,0.5269270095785156,0.707216292842054,0.9455065519464767,0.9999758499580192,0.8576390306795977,0.8350128738974152,0.9948504624152893,0.24349234120334273,0.8705982665691405,0.6105062378504734,0.6653741820393497,0.9885037494596196,0.9307135950163047,0.5099815900338902,0.9995511068352533,0.9995360144253379,0.9863406443765225,0.9876686358964547,0.9998084035411426,0.9978529132289186,0.9556947887124639,1.0
choices_matter,0.6361114907952217,0.9535412247725578,0.8624192263307202,0.778201629045351,0.9980125599621898,0.0,0.9999973814180226,0.9999454403819176,0.7140687410014583,0.9999958915591364,0.9941216163808573,0.999742384229401,0.8453136828272005,1.0,0.999994877456812,0.9962454378370491,0.9999608928313563,0.7899466158778246,0.9973989102434826,0.9928701588887947,0.693040784922793,0.3996868842564416,0.9999749494335406,0.9199821862637788,1.0,0.8187647198432586,0.999956908502808,1.0,0.9991113040060904,0.9998945882539272,0.05400043483602135,0.9999090665743893,0.9304141502121176,0.9996912268018433,0.5047938434227286,0.9902357837403203,0.7793333512495016,1.0,0.6009936863775469,0.9999947418698198,0.9829426230577053,0.9991510587218844,0.9937671508755161,0.6378295425899689,0.24788586454172656,0.9923401910198707,0.9914285545054448,0.9983648809695882,1.0,0.87614766636251,0.996348090580097,1.0,0.9894375535912732,0.9883771208609574,1.0
class_based,0.9998846463168826,0.7408370555968375,0.9995389481924688,0.9979137417305732,0.9985101841474996,0.9999973814180226,0.0,0.7954573104643412,0.7445235300326329,0.6935462826134249,0.8452837682067055,1.0,0.9999686590270298,0.9996923322962529,1.0,0.9999931094034213,0.6615185055656494,0.9997221517110508,0.7925058417696661,0.5411243029817672,0.6587606630570514,0.999564184477329,1.0,0.998057406734676,0.9990979843742526,1.0,0.999653501430707,0.9999186309476267,0.7956040004094924,0.7118449660086753,0.9999975848307493,0.7063403068007195,0.9995338117109838,0.9999928721888321,0.9999635800502421,0.9987221313733375,1.0,0.9935951633586492,0.9996668989823285,1.0,0.9993671452663432,0.6844897454301748,0.9994183276093087,0.9979474235304283,0.9999445594246127,0.9971715946567579,0.9974415084778857,0.7839378492181893,0.6547556125005435,0.9977189954332858,0.9996542588092152,0.2642441374551955,0.9996037033950221,0.9980102530893944,1.0
co_op,0.8260471176944292,0.1701925136537913,0.3822547098256105,0.554055848718374,0.6038966834589724,0.9999454403819176,0.7954573104643412,0.0,0.48820946514363606,0.627378681951565,0.5641269447351847,0.5414558534110481,0.8882110574486319,0.8098197920126737,0.9884943790490188,0.8488113905942088,0.3732284828058401,0.9335637946290669,0.2526288234578862,0.60569665429741,0.4783389295345767,0.6923366570671365,0.6930819795215111,0.8552057279184864,0.8785820469169736,0.6560070142902494,0.7042932053459701,0.6906192336305675,0.4910568713814002,0.10275995320539233,0.9998719780288907,0.2582597130000608,0.4542006855354209,0.7285307282399422,0.8634600295208559,0.7585538395784815,0.9758159649000042,0.6180870007500311,0.703416221660827,0.6281723729325033,0.39516259759632877,0.2510812221355504,0.7487306603523896,0.44287151785258483,0.9444728594551394,0.6814698705746609,0.5451576495198073,0.5575271724195128,0.5259954439130585,0.5647430298802402,0.5440711232947888,0.6640944011012515,0.716547464330139,0.5926310251980333,0.6981326268192557
comedy,0.7985337077877152,0.48943281878887934,0.5638374244424988,0.6354450147374116,0.7256620061922232,0.7140687410014583,0.7445235300326329,0.48820946514363606,0.0,0.9210524052338296,0.9535634925359855,0.45781380321921716,0.999864175675342,0.9995735238606294,0.996078660124619,0.9759718574966082,0.7965716716019628,0.9852991163162511,0.43252807939828153,0.8753274624294352,0.05806506709794923,0.5084089971848031,0.9998433980358998,0.9432378901316705,0.9996531893191318,0.4848933099005335,0.9996406163030516,0.5006522092471852,0.39149955825192295,0.5185916897896248,0.6712075371998532,0.6941336197268506,0.5882574254464307,0.5257762504254958,0.7544369626989849,0.9980553721560109,0.8826642791081243,0.9996018109478678,0.6910334919231631,0.4871104429611305,0.4583907834600328,0.5719169228553875,0.737128724253832,0.417807224981698,0.7617153831977944,0.9653203928788893,0.9894636517621443,0.944243739269876,0.9084639174099286,0.47673968344136564,0.5346560206179507,0.8097819707938169,0.9827644221804838,0.9895274160831288,0.9999915453209607
competitive,0.9965709930727287,0.4879572877591918,0.9986114498205381,0.9909083565035903,0.9995926777450652,0.9999958915591364,0.6935462826134249,0.627378681951565,0.9210524052338296,0.0,0.9522160714322699,0.9999991479383087,0.9999152962982188,0.9999922056538042,0.9998169450576087,0.999982121215843,0.21569255326326453,0.9125342135669544,0.5783954291315958,0.6568106228659677,0.8849943706568322,0.9885528344251031,0.9999856689349899,0.9989904083148825,0.6982034190393926,0.9984091805272756,0.30568662094920807,0.9999664004195798,0.6846197825956303,0.41703863302415334,1.0,0.3167910540588562,0.9996188390820279,0.9866387033698061,0.999490194011932,0.9991527781679372,0.9945287786741978,0.3181435945428851,0.9583122764111055,0.9694800199206953,0.9993909971970657,0.3310994618224592,0.9630647076496247,0.9854065689968268,0.9997862092677349,0.4528913661492513,0.9791533014801173,0.1744604146210491,0.055470156268973,0.9945097287871959,0.9760857357286116,0.18962002946017908,0.3513272284613901,0.9987597133824089,0.08634236751390689
