,appid,2d,action,adventure,atmospheric,building,choices_matter,class_based,co_op,comedy,competitive,crafting,crime,dark_fantasy,dinosaurs,driving,exploration,fps,fantasy,first_person,free_to_play,funny,great_soundtrack,heist,horror,moba,mature,military,mod,moddable,multiplayer,multiple_endings,online_co_op,open_world,physics,pixel_graphics,post_apocalyptic,psychological_horror,pvp,rpg,racing,sandbox,shooter,simulation,singleplayer,story_rich,strategy,survival,tactical,team_based,third_person,third_person_shooter,trading,war,zombies,e_sports
0,10,0,2681,0,0,0,0,0,0,0,790,0,0,0,0,0,0,2048,0,799,0,0,0,0,0,0,0,367,0,0,1659,0,0,0,0,0,0,0,480,0,0,0,1420,0,0,0,329,192,734,943,0,0,0,0,0,550
1,20,0,208,15,0,0,0,124,62,0,48,0,0,0,0,0,0,188,0,109,0,20,0,0,0,0,0,0,24,0,172,0,28,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,115,0,0,0,0,0,0
2,30,0,99,0,0,0,0,55,12,0,0,0,0,0,0,0,0,138,0,50,0,0,0,0,0,0,0,19,0,0,115,0,0,0,0,0,0,0,0,0,0,0,95,0,16,0,0,0,14,79,0,0,0,80,0,0
3,40,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,33,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
4,50,0,211,87,73,0,0,0,27,0,0,0,0,0,0,0,0,235,0,126,0,0,25,0,0,0,0,50,0,16,0,0,0,0,0,0,0,0,0,0,0,0,144,0,148,40,0,0,0,0,0,0,0,0,0,0
5,60,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,56,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
6,70,0,766,306,263,0,0,0,0,0,0,0,0,0,0,0,0,929,0,430,0,0,176,0,0,0,0,0,0,169,441,0,0,0,0,0,0,0,0,0,0,0,503,0,518,322,0,0,0,0,0,0,0,0,0,0
7,80,0,377,40,16,0,0,0,0,0,139,0,0,0,0,0,0,311,0,140,0,0,0,0,11,0,0,62,0,0,224,0,54,16,0,0,0,0,0,0,0,0,223,14,171,0,85,22,144,131,0,0,0,0,0,0
8,130,0,187,66,49,0,0,0,0,0,0,0,0,0,0,0,0,213,0,94,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,106,0,136,24,0,0,0,0,0,0,0,0,63,0
9,220,0,1761,937,667,0,0,0,0,0,0,0,0,0,0,0,0,2056,0,942,0,0,534,0,422,0,0,0,0,0,488,0,0,0,502,0,0,0,0,0,0,0,1049,0,1315,1116,0,0,0,0,0,0,0,0,607,0
10,240,0,1785,0,175,0,0,0,0,0,726,0,0,0,0,0,0,1617,0,797,0,0,0,0,0,0,0,527,0,339,1455,0,0,0,0,0,0,0,607,0,0,129,1222,174,250,0,329,202,797,948,0,0,0,417,0,400
11,280,0,186,68,54,0,0,0,0,0,0,0,0,0,0,0,0,213,0,111,0,0,16,0,32,0,0,0,0,24,38,0,0,0,0,0,0,0,0,0,0,0,118,0,128,80,0,0,0,0,0,0,0,0,83,0
12,300,0,224,0,0,0,0,101,0,17,0,0,0,0,0,0,0,287,0,102,0,0,0,0,0,0,0,148,0,0,227,0,26,0,0,0,0,0,0,0,0,0,166,20,0,0,30,0,78,157,0,0,0,118,0,0
13,320,0,199,14,10,0,0,0,41,0,70,0,0,0,0,0,0,194,0,96,10,41,0,0,0,0,0,0,0,12,187,0,0,0,87,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0
14,340,0,208,67,47,0,0,0,0,0,0,0,0,0,0,0,0,239,0,119,30,0,10,0,0,0,0,0,0,0,21,0,0,0,0,0,11,0,0,0,0,0,104,0,155,6,0,0,0,0,0,0,0,0,0,0
15,360,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,45,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
16,380,0,354,165,107,0,0,0,0,0,0,0,0,0,0,0,0,434,0,207,0,0,103,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,191,0,264,200,0,0,0,0,0,0,0,0,148,0
17,400,0,674,377,359,0,0,0,0,1041,0,0,0,0,0,0,0,421,0,1442,0,596,281,0,0,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0,0,0,1214,477,228,0,0,0,0,0,0,0,0,0
18,420,0,444,206,171,0,0,0,0,0,0,0,0,0,0,0,0,536,0,251,0,0,143,0,86,0,0,0,0,0,75,0,0,0,0,0,115,0,0,0,0,0,272,0,318,247,0,0,0,0,0,0,0,0,160,0
19,440,0,8188,0,0,0,0,6098,3920,3049,4116,2491,0,0,0,0,0,9248,0,4846,17555,5155,0,0,0,0,0,0,0,2315,10499,0,4016,0,0,0,0,0,0,0,0,0,7857,0,0,0,0,0,2726,5363,0,0,4512,0,0,0
20,500,0,633,184,182,0,0,0,735,0,158,0,0,0,0,0,0,665,0,371,0,0,0,0,366,0,0,0,0,150,649,0,412,0,0,0,318,0,0,0,0,0,430,0,246,0,0,336,171,395,0,0,0,0,1064,0
21,550,0,2804,896,0,0,0,0,3617,0,0,0,0,0,0,0,0,3338,0,1738,0,0,0,0,1632,0,0,0,0,1247,3176,0,2216,0,0,0,1057,0,0,0,0,0,1944,0,947,0,0,1886,806,1398,0,0,0,0,5334,0
22,570,0,5168,0,0,0,0,0,2264,0,4075,0,0,0,0,0,0,0,2382,0,25176,0,0,0,0,8830,0,0,0,0,7747,0,4278,0,0,0,0,0,3243,2447,0,0,0,1233,0,0,8242,0,0,5569,0,0,0,0,0,4768
23,620,0,1225,1644,858,0,0,0,2871,2112,0,0,0,0,0,0,0,752,0,2457,0,1465,0,0,0,0,0,0,0,0,1115,0,1712,0,0,0,0,0,0,0,0,0,0,0,1849,1084,650,0,0,0,0,0,0,0,0,0
24,630,0,505,90,0,0,0,175,635,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,121,454,0,390,0,0,0,0,0,0,0,0,0,364,0,87,0,93,201,0,166,178,138,0,0,0,0
25,730,0,12973,0,0,0,0,0,5594,0,11749,0,0,0,0,0,0,20508,0,9180,0,0,0,0,0,0,0,5854,0,3239,16566,0,7271,0,0,0,0,0,7916,0,0,0,15483,0,0,0,5573,0,10277,12458,0,0,4067,5488,0,8406
26,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1200,0,110,0,14,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,43,0,0,64,0,0,0,0,0,0,0,0,0,0,0,55,36,55,0,18,0,46,27,0,0,0,33,0,0
