,Top10,appid
0,"['action', 'fps', 'multiplayer', 'shooter', 'team_based', 'first_person', 'competitive', 'tactical', 'e_sports', 'pvp']",10
1,"['action', 'fps', 'multiplayer', 'shooter', 'class_based', 'team_based', 'first_person', 'co_op', 'competitive', 'online_co_op']",20
2,"['fps', 'multiplayer', 'action', 'shooter', 'war', 'team_based', 'class_based', 'first_person', 'appid', 'military']",30
3,"['action', 'fps', 'multiplayer', 'shooter', 'appid', 'first_person', 'dinosaurs', 'horror', 'heist', 'great_soundtrack']",40
4,"['fps', 'action', 'singleplayer', 'shooter', 'first_person', 'adventure', 'atmospheric', 'military', 'appid', 'story_rich']",50
5,"['action', 'fps', 'appid', 'multiplayer', 'first_person', 'shooter', 'psychological_horror', 'dinosaurs', 'heist', 'great_soundtrack']",60
6,"['fps', 'action', 'singleplayer', 'shooter', 'multiplayer', 'first_person', 'story_rich', 'adventure', 'atmospheric', 'great_soundtrack']",70
7,"['action', 'fps', 'multiplayer', 'shooter', 'singleplayer', 'tactical', 'first_person', 'competitive', 'team_based', 'strategy']",80
8,"['fps', 'action', 'singleplayer', 'appid', 'shooter', 'first_person', 'adventure', 'zombies', 'atmospheric', 'story_rich']",130
9,"['fps', 'action', 'singleplayer', 'story_rich', 'shooter', 'first_person', 'adventure', 'atmospheric', 'zombies', 'great_soundtrack']",220
10,"['action', 'fps', 'multiplayer', 'shooter', 'team_based', 'tactical', 'first_person', 'competitive', 'pvp', 'military']",240
11,"['appid', 'fps', 'action', 'singleplayer', 'shooter', 'first_person', 'zombies', 'story_rich', 'adventure', 'atmospheric']",280
12,"['appid', 'fps', 'multiplayer', 'action', 'shooter', 'team_based', 'military', 'war', 'first_person', 'class_based']",300
13,"['appid', 'action', 'fps', 'multiplayer', 'shooter', 'first_person', 'physics', 'competitive', 'funny', 'co_op']",320
14,"['appid', 'fps', 'action', 'singleplayer', 'first_person', 'shooter', 'adventure', 'atmospheric', 'free_to_play', 'multiplayer']",340
15,"['appid', 'action', 'fps', 'multiplayer', 'shooter', 'first_person', 'dinosaurs', 'horror', 'heist', 'great_soundtrack']",360
16,"['fps', 'appid', 'action', 'singleplayer', 'first_person', 'story_rich', 'shooter', 'adventure', 'zombies', 'atmospheric']",380
17,"['first_person', 'singleplayer', 'comedy', 'action', 'funny', 'story_rich', 'physics', 'fps', 'appid', 'adventure']",400
18,"['fps', 'action', 'appid', 'singleplayer', 'shooter', 'first_person', 'story_rich', 'adventure', 'atmospheric', 'zombies']",420
19,"['free_to_play', 'multiplayer', 'fps', 'action', 'shooter', 'class_based', 'team_based', 'funny', 'first_person', 'trading']",440
20,"['zombies', 'co_op', 'fps', 'multiplayer', 'action', 'appid', 'shooter', 'online_co_op', 'team_based', 'first_person']",500
21,"['zombies', 'co_op', 'fps', 'multiplayer', 'action', 'online_co_op', 'shooter', 'survival', 'first_person', 'horror']",550
22,"['free_to_play', 'moba', 'strategy', 'multiplayer', 'team_based', 'action', 'e_sports', 'online_co_op', 'competitive', 'pvp']",570
23,"['co_op', 'first_person', 'comedy', 'singleplayer', 'online_co_op', 'adventure', 'funny', 'action', 'multiplayer', 'story_rich']",620
24,"['free_to_play', 'co_op', 'appid', 'action', 'multiplayer', 'online_co_op', 'shooter', 'survival', 'third_person', 'class_based']",630
